module,type,chinese,english,status 
m1u1,words,听（动作）,listen
m1u1,words,听见,hear
m1u1,words,看见,see
m1u1,words,看（动作）,look
m1u1,phrases,听音乐,listen to music
m1u1,sentences,我能听见一只鸟叫。,I can hear a bird singing.
m1u2,words,跑,run
m1u2,words,滑冰,skate
m1u2,words,骑,ride
m1u2,phrases,骑自行车,ride a bike
m1u2,sentences,他正在公园里跑步。,He is running in the park.
m1u3,words,吃,eat
m1u3,words,喝,drink
m1u3,words,玩,play
m1u3,phrases,玩游戏,play games
m1u3,sentences,我们正在吃晚餐。,We are having dinner.
m2u1,words,书,book
m2u1,words,钢笔,pen
m2u1,words,铅笔,pencil
m2u1,phrases,一支钢笔,a pen
m2u1,sentences,我有一本书和一支钢笔。,I have a book and a pen.
m2u2,words,苹果,apple
m2u2,words,香蕉,banana
m2u2,words,橘子,orange
m2u2,phrases,一个苹果,an apple
m2u2,sentences,你想要一个香蕉吗？,Do you want a banana?
m2u3,words,红色,red
m2u3,words,蓝色,blue
m2u3,words,绿色,green
m2u3,phrases,蓝色的天空,blue sky
m2u3,sentences,树叶是绿色的。,The leaves are green.
m3u1,words,爸爸,dad
m3u1,words,妈妈,mom
m3u1,words,哥哥,brother
m3u1,phrases,我的家庭,my family
m3u1,sentences,这是我的妈妈。,This is my mom.
m3u2,words,猫,cat
m3u2,words,狗,dog
m3u2,words,鸟,bird
m3u2,phrases,一只猫,a cat
m3u2,sentences,我喜欢狗。,I like dogs.
m3u3,words,学校,school
m3u3,words,教室,classroom
m3u3,words,老师,teacher
m3u3,phrases,去上学,go to school
m3u3,sentences,我们的老师很好。,Our teacher is very nice.
m4u1,words,一,one
m4u1,words,二,two
m4u1,words,三,three
m4u1,phrases,数字1到10,numbers 1 to 10
m4u1,sentences,我有三支铅笔。,I have three pencils.
m4u2,words,早上,morning
m4u2,words,下午,afternoon
m4u2,words,晚上,evening
m4u2,phrases,早上好,good morning
m4u2,sentences,下午我们去公园。,We go to the park in the afternoon.
m4u3,words,你,you
m4u3,words,我,I
m4u3,words,他,he
m4u3,phrases,你好,hello
m4u3,sentences,他是我的朋友。,He is my friend.
